name_description,true_label,zeroshot_pred,fewshot_pred
"Chokree Baby Girl's A-line Dress Key Features of Chokree Baby Girl's A-line Dress Light Green A-line,Specifications of Chokree Baby Girl's A-line Dress Dimensions Length Midi/Knee Length General Details Occasion Party Ideal For Baby Girl's Dress Details Fabric Synthetic Type A-line",Baby Care,Baby Care,Baby Care
Envy-1000 Force Combo Set Flipkart.com: Buy Envy-1000 Force Combo Set online only for Rs. 360 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Kitchen & Dining,Home Furnishing
"Just Linen Cotton Bath Towel Just Linen Cotton Bath Towel (2 Terry Bath Towels, Lilac and Orange)
                         Price: Rs. 1,052
				
			Plain and Simple does the trick! This Classic Super Soft and Very Heavy Bath Towel has terry loop threads all over with thick ribbed horizontal lines on either end. This towel has a short loop and is therefore very absorbent and quick drying. Ideal for daily home usage for Kids. These towels are a perfect addition to your exclusive Kids Bath Linen Collection.
Plain and Simple does the trick! This Classic Super Soft and Very Heavy Bath Towel has terry loop threads all over with thick ribbed horizontal lines on either end. This towel has a short loop and is therefore very absorbent and quick drying. Ideal for daily home usage for Kids. These towels are a perfect addition to your exclusive Kids Bath Linen Collection.",Home Furnishing,Home Furnishing,Home Furnishing
Borse N16 Make Up And Jewellery Vanity Case Buy Borse N16 Make Up And Jewellery Vanity Case for Rs.680 online. Borse N16 Make Up And Jewellery Vanity Case at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
French Factor Man of the Year Deodorant Gift Set  Combo Set Flipkart.com: Buy French Factor Man of the Year Deodorant Gift Set  Combo Set online only for Rs. 340 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"Fastrack 9912PP09 Tees Analog Watch  - For Men, Women Fastrack 9912PP09 Tees Analog Watch  - For Men, Women - Buy Fastrack 9912PP09 Tees Analog Watch  - For Men, Women  9912PP09 Online at Rs.750 in India Only at Flipkart.com. Round Dial, Stainless Steel Back Case, Water Resistant, Buckle Clasp, Blue Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Young Birds Baby Girl's Fit and Flare Dress Specifications of Young Birds Baby Girl's Fit and Flare Dress Dimensions Length Mini/Short General Details Pattern Solid, Floral Print Occasion Casual, Formal Ideal For Baby Girl's Dress Details Lining 100 % Cotton Sleeve Sleeveless Fabric 100% Cotton Type Fit and Flare Neck Square Neck Additional Details Other Details Front Strap button had attached Fabric Care Normal Wash",Baby Care,Baby Care,Baby Care
"SWHF Cotton Maroon Striped Eyelet Window & Door Curtain SWHF Cotton Maroon Striped Eyelet Window & Door Curtain (210 cm in Height, Single Curtain)
                         Price: Rs. 299
				
			SWHF Cotton Door Curtains come in a very vibrant print and are made of 100% cotton. They come as a single piece and act as a great accent to uplift your room. They are machine washable and come with curtains rings for easy hanging.
SWHF Cotton Door Curtains come in a very vibrant print and are made of 100% cotton. They come as a single piece and act as a great accent to uplift your room. They are machine washable and come with curtains rings for easy hanging.",Home Furnishing,Home Decor & Festive Needs,Home Furnishing
"CTW Ganpati Bapa Moriya Statue Showpiece  -  12 cm Key Features of CTW Ganpati Bapa Moriya Statue Showpiece  -  12 cm Good to Gift For Home & Office inaugration ,Light weight ,Ganpati Bapa Statue.,Specifications of CTW Ganpati Bapa Moriya Statue Showpiece  -  12 cm (Polyresin, Orange) General Brand CTW Model Number Beautiful White & Green Mukut Ganpati statue Type Religious Idols Material Polyresin Model Name Ganpati Bapa Moriya Statue Color Orange Dimensions Weight 50 g Height 12 cm Width 5 cm Depth 10 cm Additional Features Water Resistant Yes Wall Mount No In the Box Sales Package 1 Sai Baba Pack of 1",Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Furnishing Zone Printed Back Cushion Key Features of Furnishing Zone Printed Back Cushion Attractive Colours Fiber Filled Great As Decorative Economy Range Machine Washable,Furnishing Zone Printed Back Cushion (Pack of2, Gold) Price: Rs. 295 Soft Fur Cushion For Your Loved Ones (14inch),Beautifully Crafted,Decorative,Washable,Gift Item,Specifications of Furnishing Zone Printed Back Cushion (Pack of2, Gold) General External Material Polyester Velvet Pillow Cover Material Polyester Velvet Brand Furnishing Zone Pillow Cover Design Two Sided Designed Fabric Sweat Absorbent Yes Type Back Cushion Model Name TTFUR-01 Filling Material Microfibre Hand Washable Yes Model ID TT-03 Pillow Design Rectangle Color Gold Dimensions Weight 435 g Length 35.56 cm Width 35.56 cm Depth 10.16 cm In the Box Number of Contents in Sales Package 2 Sales Package 2 Cushions",Home Furnishing,Home Furnishing,Home Furnishing
